區域別,月份,選擇,性別,總計,分母,百分比,0至4歲,5至9歲,10至14歲,15至19歲,20至24歲,25至29歲,30至34歲,35至39歲,40至44歲,45至49歲,50至54歲,55至59歲,60至64歲,65至69歲,70至74歲,75至79歲,80至84歲,85至89歲,90至94歲,95至99歲,100歲以上
七股區,1,計,女,10937,22713,48.15%,267,271,550,501,622,660,604,850,799,804,906,867,751,573,423,478,517,309,139,40,6
七股區,1,計,男,11776,22713,51.85%,284,265,565,570,689,751,689,775,835,939,1218,1213,908,647,416,399,321,193,74,20,5
七股區,1,計,計,22713,22713,100.00%,551,536,1115,1071,1311,1411,1293,1625,1634,1743,2124,2080,1659,1220,839,877,838,502,213,60,11
下營區,1,計,女,11559,23876,48.41%,361,365,352,548,669,737,775,830,738,734,912,1003,865,722,474,536,472,331,111,22,2
下營區,1,計,男,12317,23876,51.59%,381,373,453,552,827,771,852,931,877,806,991,1177,995,765,449,445,393,200,75,4,0
下營區,1,計,計,23876,23876,100.00%,742,738,805,1100,1496,1508,1627,1761,1615,1540,1903,2180,1860,1487,923,981,865,531,186,26,2
大內區,1,計,女,4401,9576,45.96%,113,100,125,193,295,217,208,295,290,324,325,332,361,357,244,236,172,133,66,11,4
大內區,1,計,男,5175,9576,54.04%,117,115,144,245,288,282,249,362,393,381,469,512,451,389,212,226,191,109,37,2,1
大內區,1,計,計,9576,9576,100.00%,230,215,269,438,583,499,457,657,683,705,794,844,812,746,456,462,363,242,103,13,5
山上區,1,計,女,3499,7305,47.90%,137,92,74,168,228,263,211,235,246,251,284,271,241,204,154,139,158,90,47,5,1
山上區,1,計,男,3806,7305,52.10%,129,81,89,199,266,250,246,284,261,245,357,375,313,218,134,135,136,66,19,3,0
山上區,1,計,計,7305,7305,100.00%,266,173,163,367,494,513,457,519,507,496,641,646,554,422,288,274,294,156,66,8,1
中西區,1,計,女,40475,78212,51.75%,1357,1645,2129,1717,1958,2243,2442,3230,3587,3253,3009,3054,3016,2558,1566,1491,1152,692,295,73,8
中西區,1,計,男,37737,78212,48.25%,1355,1857,2366,1945,2185,2289,2327,2861,2891,2813,2856,2785,2823,2438,1395,1117,773,468,162,29,2
中西區,1,計,計,78212,78212,100.00%,2712,3502,4495,3662,4143,4532,4769,6091,6478,6066,5865,5839,5839,4996,2961,2608,1925,1160,457,102,10
仁德區,1,計,女,37560,75925,49.47%,1617,1403,1282,1779,2248,2490,2803,3489,3166,2878,2887,3170,2772,2204,1249,900,677,362,149,34,1
仁德區,1,計,男,38365,75925,50.53%,1806,1463,1451,2051,2521,2742,2903,3750,3467,2899,2802,2877,2667,2135,1119,780,511,276,122,21,2
仁德區,1,計,計,75925,75925,100.00%,3423,2866,2733,3830,4769,5232,5706,7239,6633,5777,5689,6047,5439,4339,2368,1680,1188,638,271,55,3
六甲區,1,計,女,10670,22120,48.24%,348,384,400,598,691,724,696,800,712,695,821,873,787,660,416,412,358,212,67,15,1
